First Uniprot ID,First gene symbol,Trimmed first Uniprot ID,Trimmed first gene symbol,Protein,0_0 vs 12_0 log2FC,0_0 vs 12_0 adj.pvalue,0_0 vs 0_100 log2FC,0_0 vs 0_100 adj.pvalue,0_0 vs 12_100 log2FC,0_0 vs 12_100 adj.pvalue,Invasive vs Proliferative 0_0 log2FC,Invasive vs Proliferative 0_0 adj.pvalue,Invasive vs Proliferative 12_0 log2FC,Invasive vs Proliferative 12_0 adj.pvalue,Invasive vs Proliferative 0_100 log2FC,Invasive vs Proliferative 0_100 adj.pvalue,Invasive vs Proliferative 12_100 log2FC,Invasive vs Proliferative 12_100 adj.pvalue
Q8WX92-2,NA,Q8WX92,NELFB,Q8WX92-2,Inf,0,Inf,0,NA,NA,-0.662845979,0.000307184,0.221787417,0.277676205,-0.384920492,0.085179146,-0.503968276,0.020973341
Q8WX93,PALLD,Q8WX93,PALLD,Q8WX93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WX93-2,NA,Q8WX93,PALLD,Q8WX93-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WX93-3,NA,Q8WX93,PALLD,Q8WX93-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WX93-4,NA,Q8WX93,PALLD,Q8WX93-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WX93-5,NA,Q8WX93,PALLD,Q8WX93-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WX93-6,NA,Q8WX93,PALLD,Q8WX93-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WX93-7,NA,Q8WX93,PALLD,Q8WX93-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WX93-8,NA,Q8WX93,PALLD,Q8WX93-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WX93-9,NA,Q8WX93,PALLD,Q8WX93-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WX94,NLRP7,Q8WX94,NLRP7,Q8WX94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WX94-2,NA,Q8WX94,NLRP7,Q8WX94-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
