pathway,pval,padj,log2err,ES,NES,size,leadingEdge
AP1_Q6_01,0.277486910994764,0.730930589856355,0.105125131597001,0.480386084679173,1.15896051032515,23,ENSG00000167553|ENSG00000085365|ENSG00000175166|ENSG00000113013|ENSG00000103035|ENSG00000108828|ENSG00000197170|ENSG00000166963
AP2ALPHA_01,0.416666666666667,0.805488143456705,0.0992333343771191,-0.400120731208786,-1.03336611320392,24,ENSG00000124942|ENSG00000134001|ENSG00000122884|ENSG00000123384|ENSG00000213024|ENSG00000175130|ENSG00000126934|ENSG00000125398
AP2GAMMA_01,0.374407582938389,0.783053302763805,0.105520936843198,-0.426407416207593,-1.06820130455445,21,ENSG00000130726|ENSG00000134001|ENSG00000122884|ENSG00000213024|ENSG00000175130|ENSG00000126934|ENSG00000125398|ENSG00000134371|ENSG00000137200
AP2REP_01,0.741176470588235,0.924111056989771,0.0673623868166279,-0.341320252662531,-0.80119678030923,15,ENSG00000239306|ENSG00000026025|ENSG00000175130|ENSG00000101126|ENSG00000160014|ENSG00000277586
AP2_Q3,0.588089330024814,0.871431223551029,0.0819778796501272,-0.325809699780229,-0.913598340303959,35,ENSG00000146676|ENSG00000124571|ENSG00000122884|ENSG00000135097|ENSG00000091536|ENSG00000175130
AP2_Q6,0.977886977886978,0.992023231260721,0.0561766586307176,-0.219305564454092,-0.580027232287241,27,ENSG00000130726|ENSG00000108654|ENSG00000138107|ENSG00000175130|ENSG00000125844|ENSG00000134371
AP2_Q6_01,0.342657342657343,0.76674408879946,0.110122263835536,-0.419496400085571,-1.07546373572016,23,ENSG00000136231|ENSG00000130726|ENSG00000125755|ENSG00000099622|ENSG00000140350|ENSG00000175130
AP3_Q6,0.441747572815534,0.819462599854757,0.096887770327544,-0.426411771454886,-1.00539697451653,16,ENSG00000177733|ENSG00000123384
AP4_01,0.264957264957265,0.719980731091102,0.106729884364606,0.497168457511791,1.18817388268422,20,ENSG00000167553|ENSG00000189043|ENSG00000108344|ENSG00000147475|ENSG00000173020
AP4_Q5,0.890814558058926,0.965912516812004,0.0444181153081573,0.307705418159811,0.685625635368464,15,ENSG00000173020|ENSG00000167323|ENSG00000108828|ENSG00000049245|ENSG00000137285|ENSG00000117862|ENSG00000198830|ENSG00000101421|ENSG00000086061
AP4_Q6,0.821124361158433,0.949821986834114,0.0473534245254193,0.337252554952951,0.723607769768238,12,ENSG00000198060|ENSG00000173020|ENSG00000108828|ENSG00000049245|ENSG00000117862|ENSG00000136631|ENSG00000198830
